unique_id,timestamp,speed_kmh,acceleration,deceleration,latitude,longitude
1140774666,1747906365,0.534377,-2.53883e-06,-2.49059e-05,12.9506,77.566
1140774666,1747906367,1.08284,1.74777e-06,1.71456e-05,18.5887,73.7031
1140774666,1747906368,3310720.0,0.0535896,0.525714,12.9506,77.566
1140774666,1747906371,2.0796,-0.000468788,-0.00459881,12.9506,77.566
1140774666,1747906373,1620530.0,0.0586229,0.575091,18.5887,73.703
1140774666,1747906374,1922200.0,0.028593,0.280497,12.9506,77.566
1140774666,1747906377,0.462639,2.39476e-05,0.000234926,12.9506,77.566
1140774666,1747906380,1.81351,-2.19088e-05,-0.000214925,12.9506,77.566
1140774666,1747906384,1.2892,2.14749e-06,2.10669e-05,12.9506,77.566
1140774666,1747906386,1.6399,3.55345e-06,3.48594e-05,12.9506,77.566
1140774666,1747906388,1523430.0,0.0252755,0.247953,18.5887,73.703
1140774666,1747906390,1996250.0,0.0318974,0.312914,12.9506,77.566
1140774666,1747906392,0.743639,1.09179e-05,0.000107104,12.9506,77.566
1140774666,1747906396,2.23637,-2.80722e-06,-2.75388e-05,12.9506,77.566
1140774666,1747906398,0.206955,7.55577e-07,7.41221e-06,18.5887,73.703
1140774666,1747906402,0.0568088,-3.19504e-06,-3.13433e-05,12.9506,77.566
1140774666,1747906403,1386270.0,-0.00282399,-0.0277033,18.5887,73.703
1140774666,1747906405,2539970.0,-0.0031169,-0.0305767,12.9506,77.566
1140774666,1747906407,0.173778,1.50773e-08,1.47908e-07,12.9506,77.566
1140774666,1747906409,1993300.0,-0.0018008,-0.0176659,18.5887,73.703
1140774666,1747906411,1565910.0,0.00173931,0.0170626,12.9506,77.566
1140774666,1747906413,0.261625,8.81173e-07,8.64431e-06,18.5887,73.703
1140774666,1747906417,2.14187,-7.1455e-06,-7.00974e-05,12.9506,77.566
1140774666,1747906418,1389140.0,0.0176978,0.173615,18.5887,73.703
1140774666,1747906420,2588780.0,0.00519605,0.0509732,12.9506,77.566
1140774666,1747906423,1.27967,1.99514e-06,1.95723e-05,12.9506,77.566
1140774666,1747906424,2839750.0,0.0239453,0.234904,18.5887,73.703
1140774666,1747906426,1395610.0,0.687425,6.74364,12.9506,77.566
1140774666,1747906429,0.445157,0.000500299,0.00490794,18.5887,73.703
1140774666,1747906432,1.38594,-2.4136e-06,-2.36774e-05,12.9506,77.566
1140774666,1747906434,0.698954,-2.47113e-06,-2.42418e-05,18.5887,73.703
1140774666,1747906438,2.00037,1.33931e-06,1.31386e-05,12.9506,77.566
1140774666,1747906441,1.20887,2.23039e-06,2.18802e-05,12.9506,77.566
1140774666,1747906443,0.4091,-2.50469e-07,-2.4571e-06,18.5887,73.703
1140774666,1747906447,1.01443,1.2392e-06,1.21566e-05,12.9506,77.566
1140774666,1747906449,1.09734,-8.15893e-07,-8.00391e-06,18.5887,73.7031
1140774666,1747906453,0.301722,6.41836e-07,6.29641e-06,12.9506,77.566
1140774666,1747906456,0.188085,-1.01837e-06,-9.99025e-06,12.9506,77.566
1140774666,1747906458,1368690.0,0.000239309,0.00234762,18.5887,73.703
1140774666,1747906459,2830820.0,-0.000154516,-0.00151581,12.9506,77.566
1140774666,1747906462,1.07978,9.78362e-08,9.59773e-07,12.9506,77.566
1140774666,1747906464,0.923921,1.62947e-06,1.59851e-05,18.5887,73.7031
1140774666,1747906465,2642090.0,-0.000242646,-0.00238036,12.9506,77.566
1140774666,1747906468,1.07184,6.3241e-07,6.20395e-06,12.9506,77.566
1140774666,1747906469,2216220.0,0.000900677,0.00883564,18.5887,73.703
1140774666,1747906471,1423630.0,-0.000812132,-0.00796702,12.9506,77.566
1140774666,1747906474,1.08556,-7.12914e-06,-6.99368e-05,18.5887,73.703
1140774666,1747906476,2.20606,5.40713e-06,5.3044e-05,18.5887,73.7031
1140774666,1747906480,1.96659,-8.27062e-07,-8.11348e-06,12.9506,77.566
1140774666,1747906481,2143950.0,-0.00100345,-0.00984384,18.5887,73.703
1140774666,1747906483,1628360.0,0.000847285,0.00831187,12.9506,77.566
1140774666,1747906486,0.227068,-1.00709e-08,-9.8796e-08,12.9506,77.566
1140774666,1747906487,2359840.0,0.000601323,0.00589898,18.5887,73.703
1140774666,1747906489,1366600.0,0.000510718,0.00501014,12.9506,77.566
1140774666,1747906491,0.0329022,-1.38046e-07,-1.35423e-06,18.5887,73.703
1140774666,1747906495,2.05304,8.28062e-08,8.12329e-07,12.9506,77.566
1140774666,1747906497,0.0421412,-5.12186e-07,-5.02454e-06,18.5887,73.703
1140774666,1747906498,2722160.0,0.000179713,0.00176298,12.9506,77.566
1140774666,1747906501,0.919135,3.32541e-07,3.26223e-06,12.9506,77.566
1140774666,1747906502,2414820.0,7.28392e-05,0.000714552,18.5887,73.703
1140774666,1747906504,0.729191,-6.06736e-07,-5.95208e-06,12.9506,77.566
1140774666,1747906506,0.88415,1.61564e-06,1.58495e-05,18.5887,73.703
1140774666,1747906510,0.462443,-5.13752e-07,-5.03991e-06,12.9506,77.566
1140774666,1747906511,2578890.0,0.000257489,0.00252596,18.5887,73.703
1140774666,1747906513,1490560.0,-0.00078951,-0.00774509,12.9506,77.566
1140774666,1747906516,1.58556,-7.67275e-07,-7.52696e-06,12.9506,77.566
1140774666,1747906519,0.67077,1.1297e-06,1.10823e-05,12.9506,77.566
1140774666,1747906521,0.698538,3.9564e-07,3.88123e-06,18.5887,73.703
1140774666,1747906525,1.52024,-3.87546e-07,-3.80182e-06,12.9506,77.566
1140774666,1747906527,1384860.0,-0.000710767,-0.00697262,18.5887,73.703
1140774666,1747906528,2230910.0,-0.000574216,-0.00563306,12.9506,77.566
1140774666,1747906531,1.5866,-8.5518e-07,-8.38932e-06,12.9506,77.566
1140774666,1747906534,0.300119,2.65891e-06,2.60839e-05,12.9506,77.566
1140774666,1747906537,0.794738,-4.06499e-06,-3.98776e-05,18.5887,73.7031
1140774666,1747906540,1.54651,-0.000250139,-0.00245386,12.9506,77.566
1140774666,1747906542,2616440.0,0.141537,1.38848,18.5887,73.703
1140774666,1747906543,1413920.0,0.15397,1.51045,12.9506,77.566
1140774666,1747906546,2.28173,6.21557e-05,0.000609748,12.9506,77.566
1140774666,1747906549,2.26943,7.17837e-05,0.000704198,12.9506,77.566
1140774666,1747906552,0.18952,1.928e-05,0.000189137,18.5887,73.703
1140774666,1747906553,2922920.0,-0.00451078,-0.0442507,12.9506,77.566
1140774666,1747906555,0.774671,-2.71559e-05,-0.000266399,12.9506,77.566
1140774666,1747906557,1849650.0,0.00741505,0.0727416,18.5887,73.703
1140774666,1747906558,1744300.0,0.0150889,0.148022,12.9506,77.566
1140774666,1747906561,0.220417,1.18534e-05,0.000116281,12.9506,77.566
1140774666,1747906565,1.7694,1.11602e-05,0.000109481,12.9506,77.566
1140774666,1747906567,0.269194,-7.76675e-05,-0.000761918,18.5887,73.703
1140774666,1747906570,0.254512,6.7592e-05,0.000663078,18.5887,73.703
1140774666,1747906573,0.799478,1.61493e-05,0.000158425,12.9506,77.566
1140774666,1747906575,1374270.0,-0.000672543,-0.00659764,18.5887,73.703
