ID,UUID,timeStart,duration,pureDuration,speedStart,speedStop,speedMedian,prevEventSpeed,accelerationDirect,accelerationLateral,accelerationVertical,accelerationDirectEnd,accelerationLateralEnd,accelerationVerticalEnd,UNIQUE_ID,type,accidentTrigger,reliability,synced
7,BF75E495-252E-4D38-BA42-44DEE8DFDF41,1742356231157.0,6247.0,3110.0,3.585383176803589,2.485071897506714,3.5854,0.06822187453508377,-3.898898860719416,-2.1543119752259123,9.04792200684201,0.207066576509344,-3.1521069006673854,9.293892428135978,2002117233,Braking,NOT_DEFINED,86.18750316133877,1
8,3104FBD3-7DC4-41EF-AEB6-16827666B975,1742356240134.0,1924.0,32.0,2.485071897506714,2.485071897506714,3.5013,3.585383176803589,2.719619879115826,-3.8873422370807384,9.272577936234532,1.710344937019555,-3.0880679425779043,10.848883791253595,2002117233,Acceleration,NOT_DEFINED,84.16586847180103,1
9,FE5A426E-65B9-4B49-8D02-0E648B3FE143,1742356247714.0,2959.0,98.0,7.442918300628662,7.442918300628662,7.4429,3.5012764930725098,-2.815396080811935,-0.18613617774688795,14.397745358738225,0.017015475226555665,-0.03034801108087115,12.280639536691222,2002117233,Braking,NOT_DEFINED,-1.0,1
10,91CC3937-12DF-454B-A75A-883B50AA2FF9,1742356260804.0,827.0,113.0,1.8371614217758179,1.8371614217758179,1.8372,8.914650917053223,3.1354870302343603,-0.0949379339233074,9.559937544745118,1.4946211987676454,-0.12084503165617333,10.763358099156122,2002117233,Acceleration,NOT_DEFINED,44.16346315836771,1
11,6C13912F-3B98-49AF-8A6E-085DA4256B57,1742356295612.0,1823.0,162.0,3.3532822132110596,3.8634297847747803,3.8634,6.637444019317627,-2.9502904855705845,-0.29670981269231245,7.6051688879068715,-1.0510824718133973,-0.02587625656348297,10.207705169050113,2002117233,Braking,NOT_DEFINED,92.87019571415078,1
12,04772BE4-9401-470B-B7C6-4C9AB9B50D3C,1742357795353.0,1721.0,144.0,0.9718390107154846,1.6170750856399536,2.497,1.4635101556777954,-2.741905215759405,-1.2366648142373486,12.913631984000219,0.6587849817505305,0.21833827220980828,11.121171866826806,1457788001,Braking,NOT_DEFINED,60.02404066320715,1
13,A7B72473-AB72-4C97-89A9-BE64D2494638,1742357815611.0,11810.0,7510.0,0.0433315671980381,0.6541685461997986,0.3594,0.1262231022119522,-3.1904437419753195,-1.7466845007525436,6.58905171760541,-2.0324076576811647,4.577557626282884,12.522424009420037,1457788001,Braking,NOT_DEFINED,8.639423393815237,1
14,CE54C1DF-AFA3-458D-8DCD-0EC79710E219,1742357828963.0,17775.0,3267.0,0.9934555888175964,0.6118054389953613,1.0041,0.6541685461997986,2.838805746107146,5.594631025160681,12.27625365941489,2.5811215175223574,0.5663318798686072,7.478958387755782,1457788001,Acceleration,NOT_DEFINED,24.137020116109852,1
15,27E52AC6-C89F-4323-893B-2310D2BB3A1D,1742357853852.0,4861.0,356.0,0.19200512766838074,0.8992400169372559,0.7204,0.2881261706352234,-1.8373272593004821,-3.0991675610602876,9.305609172752552,0.18833377645671867,2.9468415462997357,8.014179038974518,1457788001,Cornering,NOT_DEFINED,17.31730832750278,1
16,ED0407B9-C80E-44AC-A03D-81F5F08A3FC9,1742357868018.0,34882.0,2216.0,0.6082910895347595,0.018233351409435272,0.4881,0.49943849444389343,1.4744434777515887,3.1450224163661664,11.665867015476486,1.0147290762320904,2.586307808181014,9.658164664680314,1457788001,Cornering,NOT_DEFINED,11.733173507293316,1
17,E1B396B2-EB3A-47C1-BC6B-4C28761BF42D,1742357907552.0,49327.0,40266.0,0.6817654371261597,0.6400092840194702,0.6029,0.49597543478012085,4.998251452088679,3.490636887156456,13.288981787788677,3.9243519075961064,-0.4197310312717879,8.021939455429203,1457788001,Cornering,NOT_DEFINED,14.492788993130793,1
18,6BFB958A-4A4A-4BA5-9610-3730175D04EE,1742357859572.0,102328.0,11484.0,0.5462712049484253,0.3761737048625946,0.4978,0.8992400169372559,2.790676047097865,0.8314677147748721,9.375469660814103,2.4177071804597268,-1.206515548328897,9.957715192890738,1457788001,Acceleration,NOT_DEFINED,11.966346592769131,1
19,FB7F2192-B37B-4F11-9DF4-A237332B7246,1742357962047.0,5821.0,5756.0,0.3761737048625946,0.44769391417503357,0.3762,1.1786420345306396,-5.521270699951597,-2.808491031523807,4.438772708565585,-2.5601909532981453,-8.465959416326276,4.657268270151335,1457788001,Braking,NOT_DEFINED,9.04326956247438,1
20,CABADBA1-AABB-4A83-82FD-DF0A7A2A1B48,1742357961676.0,14208.0,11682.0,0.3761737048625946,0.4530313014984131,0.4515,1.1786420345306396,6.92874357842712,3.165955588818596,7.907469798877765,8.569859784584327,-2.9792804140572007,4.492978203826656,1457788001,Cornering,NOT_DEFINED,10.85336578271447,1
21,A57820E1-0ECC-49C6-95AB-45EAB859273F,1742357968325.0,21190.0,21109.0,0.44769391417503357,0.4479007124900818,0.4515,0.36659157276153564,2.841237709855347,-7.8218500643897215,5.698838021996101,2.6954383855028903,0.0010344976693974495,9.704377030588272,1457788001,Acceleration,NOT_DEFINED,10.85336578271447,1
22,9462F5F4-89D6-4AEA-B582-5BB1F7F9BAD0,1742388100007.0,1342.0,340.0,0.42831575870513916,0.015997545793652534,0.4283,0.05349421501159668,3.1413335566217384,-1.5272426491279225,11.746275484938653,2.1903391687846736,7.946994753609906,5.149497239829219,196542710,Acceleration,NOT_DEFINED,10.295673454566128,0
