iter	RMSE
0	31.49104514
1	30.46807871
2	29.57168711
3	28.67426637
4	27.84067893
5	27.06137582
6	26.30328132
7	25.62850085
8	25.00240902
9	24.39481983
10	23.81869627
11	23.29451577
12	22.81984559
13	22.36228744
14	21.9520013
15	21.59535374
16	21.24789432
17	20.84059197
18	20.52237604
19	20.20276195
20	19.91162716
21	19.64578918
22	19.39236767
23	19.14498781
24	18.94015652
25	18.70494649
26	18.50686933
27	18.3155269
28	18.05255727
29	17.87672056
30	17.62714475
31	17.4803375
32	17.35097574
33	17.18915713
34	16.96616142
35	16.86246208
36	16.7407576
37	16.6068956
38	16.44252437
39	16.25710319
40	16.07616828
41	15.91803428
42	15.76685917
43	15.65141054
44	15.53951307
45	15.42369174
46	15.29380911
47	15.1635016
48	15.06484876
49	15.01044219
50	14.96315425
51	14.8695643
52	14.81813032
53	14.76920336
54	14.70111365
55	14.65462898
56	14.58441159
57	14.53037518
58	14.43598224
59	14.36690683
60	14.31323546
61	14.28149521
62	14.18949923
63	14.11234596
64	14.05747231
65	14.02314776
66	13.93507365
67	13.90579796
68	13.88198355
69	13.87003145
70	13.84561119
71	13.76503432
72	13.74546954
73	13.73257935
74	13.68755899
75	13.66195361
76	13.63147281
77	13.56910557
78	13.54883333
79	13.53492785
80	13.48809785
81	13.44556725
82	13.43271126
83	13.41520165
84	13.32205606
85	13.27602808
86	13.26068669
87	13.20506602
88	13.16003212
89	13.13194246
90	13.10321442
91	13.08338704
92	13.06310733
93	12.97996086
94	12.9594781
95	12.94560201
96	12.8850516
97	12.86677576
98	12.84289044
99	12.77609059
100	12.72432938
101	12.69649512
102	12.64159522
103	12.60528846
104	12.5930285
105	12.56019617
106	12.50484761
107	12.46460575
108	12.41960405
109	12.41243701
110	12.35769445
111	12.34163314
112	12.29096477
113	12.2632303
114	12.23836209
115	12.19789369
116	12.18299404
117	12.16253653
118	12.1192013
119	12.11273454
120	12.10286267
121	12.07443162
122	12.02796035
123	11.99390725
124	11.95831197
125	11.92488312
126	11.90538845
127	11.8994065
128	11.88014857
129	11.86536975
130	11.83910424
131	11.79649545
132	11.78871917
133	11.78506065
134	11.76467025
135	11.7568497
136	11.7165179
137	11.67378243
138	11.66876544
139	11.64799572
140	11.62956485
141	11.61254738
142	11.59695232
143	11.52811769
144	11.51833297
145	11.5113659
146	11.49758938
147	11.49384304
148	11.47575597
149	11.47048371
150	11.42870922
151	11.40467075
152	11.39966946
153	11.36976727
154	11.3468694
155	11.320567
156	11.31168999
157	11.28209887
158	11.24967294
159	11.23464856
160	11.2210348
161	11.21553883
162	11.20354964
163	11.19876016
164	11.16874194
165	11.14519273
166	11.09074427
167	11.07781892
168	11.06055091
169	11.03064614
170	10.98994115
171	10.93985155
172	10.91610612
173	10.90358284
174	10.87938839
175	10.84461275
176	10.82004342
177	10.78277543
178	10.74566222
179	10.72532251
180	10.7169599
181	10.69189075
182	10.66353883
183	10.64353795
184	10.5938092
185	10.57548488
186	10.56775659
187	10.52600317
188	10.49290505
189	10.47397947
190	10.45535633
191	10.44025427
192	10.43282478
193	10.39611489
194	10.3709127
195	10.33688998
196	10.31592387
197	10.29112333
198	10.27865949
199	10.24730779
200	10.23189495
201	10.20571875
202	10.17847602
203	10.1561241
204	10.1437376
205	10.13662272
206	10.13053275
207	10.10656783
208	10.08207953
209	10.06598875
210	10.0268245
211	10.00164137
212	9.990998844
213	9.970429628
214	9.935059181
215	9.927517583
216	9.916558252
217	9.900122364
218	9.886564779
219	9.865027225
220	9.853609419
221	9.825311378
222	9.820397852
223	9.800655723
224	9.791235434
225	9.785564286
226	9.775838519
227	9.756144103
228	9.724701374
229	9.715262067
230	9.71063735
231	9.693346904
232	9.675186061
233	9.651772073
234	9.64742796
235	9.642680146
236	9.612866302
237	9.60238507
238	9.568779556
239	9.54910597
240	9.537381471
241	9.528449328
242	9.517333066
243	9.496184158
244	9.491673182
245	9.468827372
246	9.442697447
247	9.433496564
248	9.417416992
249	9.407163661
250	9.402903235
251	9.38520504
252	9.364985662
253	9.360808197
254	9.351535352
255	9.348793683
256	9.341005986
257	9.313505425
258	9.30956397
259	9.301559367
260	9.296164492
261	9.287816022
262	9.280157726
263	9.261020144
