iter	RMSE
264	9.248300043
265	9.245040102
266	9.218121866
267	9.21041575
268	9.185726528
269	9.176475788
270	9.169573277
271	9.154918567
272	9.140236944
273	9.133043948
274	9.128633087
275	9.11152897
276	9.09395424
277	9.085507664
278	9.081949525
279	9.064081414
280	9.061807782
281	9.049183592
282	9.026798821
283	9.013141252
284	9.006582275
285	9.000954488
286	8.997557829
287	8.98472639
288	8.980670917
289	8.968799264
290	8.953363191
291	8.949994578
292	8.93187261
293	8.915242893
294	8.912114633
295	8.908569786
296	8.893179267
297	8.877212855
298	8.868874484
299	8.865904524
300	8.855265325
301	8.852358474
302	8.837450205
303	8.825671303
304	8.822221809
305	8.810448993
306	8.799999673
307	8.784694788
308	8.776148561
309	8.763059889
310	8.744602222
311	8.738020548
312	8.735368687
313	8.726924861
314	8.715535555
315	8.705368068
316	8.699619604
317	8.675553244
318	8.672446583
319	8.669718333
320	8.658494212
321	8.63462027
322	8.616538448
323	8.614158086
324	8.604728508
325	8.595414288
326	8.578776577
327	8.575471777
328	8.572966348
329	8.570498773
330	8.561143419
331	8.544661888
332	8.539253618
333	8.516938034
334	8.508614838
335	8.494319638
336	8.492136576
337	8.485370149
338	8.473694218
339	8.461649704
340	8.459609161
341	8.453385363
342	8.441632786
343	8.423505959
344	8.41598881
345	8.402021111
346	8.397424102
347	8.385409592
348	8.383073035
349	8.377288306
350	8.37135661
351	8.365183325
352	8.356898219
353	8.340338946
354	8.33275692
355	8.330862753
356	8.314441266
357	8.308549845
358	8.296737591
359	8.294887429
360	8.278308023
361	8.267397835
362	8.265393944
363	8.253132557
364	8.237716139
365	8.232142745
366	8.226617183
367	8.222301058
368	8.220137933
369	8.218796284
370	8.20951902
371	8.199473429
372	8.188254056
373	8.186180618
374	8.174864684
375	8.164932565
376	8.160675479
377	8.158948251
378	8.157314005
379	8.146854853
380	8.134906426
381	8.130950842
382	8.126997467
383	8.118215613
384	8.113940266
385	8.110519394
386	8.104030973
387	8.094259336
388	8.084921032
389	8.081354042
390	8.079887676
391	8.070597083
392	8.066167173
393	8.05966497
394	8.05673087
395	8.053380315
396	8.049460461
397	8.042142156
398	8.039233444
399	8.034634884
400	8.025539775
401	8.024146947
402	8.020728698
403	8.014800235
404	8.008251922
405	8.006358124
406	7.99458366
407	7.983734102
408	7.974400984
409	7.961223537
410	7.957984738
411	7.955533456
412	7.951312032
413	7.937776331
414	7.918622908
415	7.916955009
416	7.909618254
417	7.907808053
418	7.887822067
419	7.88384378
420	7.882321537
421	7.871554725
422	7.861392834
423	7.857532572
424	7.854449265
425	7.853604926
426	7.849774521
427	7.832793729
428	7.820761346
429	7.812843885
430	7.806713029
431	7.79997064
432	7.798635555
433	7.793411923
434	7.779145012
435	7.774104212
436	7.770591825
437	7.761660863
438	7.757823086
439	7.756116782
440	7.738609792
441	7.734077604
442	7.730338172
443	7.726922113
444	7.725040753
445	7.721617653
446	7.719969122
447	7.718003392
448	7.708316533
449	7.703511553
450	7.697903744
451	7.696333079
452	7.681909873
453	7.673127581
454	7.671298178
455	7.667878479
456	7.666610232
457	7.655382653
458	7.648280687
459	7.638220804
460	7.629376764
461	7.628285515
462	7.625261847
463	7.617860735
464	7.614955591
465	7.599339783
466	7.597289247
467	7.596242661
468	7.585490967
469	7.583786121
470	7.582833052
471	7.575608013
472	7.571323857
473	7.565241144
474	7.556956468
475	7.54819833
476	7.546685883
477	7.537326693
478	7.530149278
479	7.522230472
480	7.514558988
481	7.505816526
482	7.502072966
483	7.496492928
484	7.488884838
485	7.48174494
486	7.470853058
487	7.464845291
488	7.463494902
489	7.458829117
490	7.449656661
491	7.442053708
492	7.438625819
493	7.427059596
494	7.426027849
495	7.42366057
496	7.420403397
497	7.413897039
498	7.411430999
499	7.403887702
