ID,timeStart,latitude,longitude,UNIQUE_ID,type,synced
110,1742400732613.0,18.5869397,73.7536387,315396716,Braking,0
111,1742400739116.0,18.5866263,73.7537271,315396716,Acceleration,0
112,1742400748086.0,18.5863154,73.7537948,315396716,Braking,0
113,1742400755592.0,18.5859931,73.7538541,315396716,Braking,0
114,1742400755512.0,18.5859931,73.7538541,315396716,Acceleration,0
115,1742400763617.0,18.5857379,73.753901,315396716,Acceleration,0
116,1742400770365.0,18.5854081,73.7539211,315396716,Cornering,0
117,1742400768312.0,18.585505,73.7539125,315396716,Acceleration,0
118,1742400768087.0,18.5855591,73.7539123,315396716,Braking,0
119,1742400792045.0,18.5850373,73.7540121,315396716,Acceleration,0
120,1742400933171.0,18.5851005,73.7540184,315396716,Cornering,0
121,1742400933188.0,18.5851005,73.7540184,315396716,Acceleration,0
122,1742400950454.0,18.5849965,73.7543447,315396716,Cornering,0
123,1742400956991.0,18.5848624,73.7543659,315396716,Cornering,0
124,1742400964210.0,18.5846948,73.7543594,315396716,Cornering,0
125,1742401003732.0,18.5842174,73.7552043,315396716,Braking,0
126,1742401023241.0,18.5842366,73.7552581,315396716,Cornering,0
127,1742401022968.0,18.5842366,73.7552581,315396716,Braking,0
128,1742439667277.0,18.5876648,73.7499787,1949307084,Acceleration,0
129,1742439656555.0,18.5874432,73.750531,1949307084,Cornering,0
130,1742439687331.0,18.5878845,73.7489039,1949307084,Cornering,0
131,1742439696657.0,18.5878722,73.7480952,1949307084,Cornering,0
132,1742439714424.0,18.5878525,73.7472924,1949307084,Cornering,0
133,1742439765718.0,18.5888914,73.7446253,1949307084,Cornering,0
134,1742439812896.0,18.588971,73.7416972,1949307084,Cornering,0
135,1742439820584.0,18.5889959,73.7414801,1949307084,Cornering,0
136,1742439829608.0,18.5894141,73.7414053,1949307084,Cornering,0
137,1742439838945.0,18.5899284,73.7410806,1949307084,Cornering,0
138,1742439847120.0,18.5902305,73.7409231,1949307084,Cornering,0
139,1742439853880.0,18.590426,73.7408052,1949307084,Cornering,0
140,1742439870186.0,18.5909832,73.7404203,1949307084,Cornering,0
141,1742439900215.0,18.5911742,73.7389074,1949307084,Braking,0
142,1742439896013.0,18.591163,73.739,1949307084,Cornering,0
143,1742439915151.0,18.5903283,73.7385454,1949307084,Cornering,0
144,1742439919797.0,18.5899266,73.7383838,1949307084,Cornering,0
145,1742439973230.0,18.5860824,73.7347869,1949307084,Acceleration,0
146,1742439931658.0,18.5889576,73.7378144,1949307084,Cornering,0
147,1742439992326.0,18.5871236,73.7334144,1949307084,Cornering,0
148,1742439997599.0,18.5877159,73.7332376,1949307084,Cornering,0
149,1742440012450.0,18.5891804,73.7327918,1949307084,Cornering,0
150,1742440035138.0,18.5906289,73.7330064,1949307084,Cornering,0
151,1742440043854.0,18.5911792,73.7329581,1949307084,Cornering,0
152,1742440056896.0,18.5921503,73.732715,1949307084,Cornering,0
153,1742440074201.0,18.5936116,73.7323314,1949307084,Cornering,0
154,1742440113545.0,18.5941836,73.7289892,1949307084,Cornering,0
155,1742440133803.0,18.5943792,73.7276792,1949307084,Cornering,0
156,1742440165185.0,18.5946886,73.7260196,1949307084,Cornering,0
157,1742440208074.0,18.594901,73.7217015,1949307084,Cornering,0
158,1742440228135.0,18.5959985,73.7201633,1949307084,Acceleration,0
159,1742440244306.0,18.5963948,73.7196892,1949307084,Braking,0
160,1742440245913.0,18.5964213,73.7196724,1949307084,Acceleration,0
161,1742440261437.0,18.5966621,73.7193981,1949307084,Braking,0
162,1742440260283.0,18.5966536,73.7194146,1949307084,Cornering,0
163,1742440282292.0,18.5967564,73.7183155,1949307084,Braking,0
164,1742440282132.0,18.5967564,73.7183155,1949307084,Cornering,0
165,1742440287114.0,18.5966875,73.7178981,1949307084,Acceleration,0
166,1742440301734.0,18.5962721,73.716699,1949307084,Braking,0
167,1742440317055.0,18.5960888,73.7149694,1949307084,Acceleration,0
168,1742440308627.0,18.5962217,73.7159767,1949307084,Cornering,0
169,1742440322113.0,18.596066,73.7143178,1949307084,Braking,0
170,1742440328438.0,18.5959583,73.7134263,1949307084,Cornering,0
171,1742440328619.0,18.5959583,73.7134263,1949307084,Braking,0
172,1742440326705.0,18.5960005,73.7136795,1949307084,Acceleration,0
173,1742440333767.0,18.5958514,73.7129569,1949307084,Braking,0
174,1742440344826.0,18.5955792,73.7120612,1949307084,Acceleration,0
175,1742440367676.0,18.5943045,73.7095547,1949307084,Cornering,0
176,1742440379648.0,18.593746,73.7085408,1949307084,Acceleration,0
177,1742440384527.0,18.593617,73.7082727,1949307084,Acceleration,0
178,1742440414103.0,18.5914993,73.7071423,1949307084,Braking,0
179,1742440413599.0,18.5914993,73.7071423,1949307084,Acceleration,0
180,1742440442748.0,18.5892933,73.7054297,1949307084,Acceleration,0
181,1742440444425.0,18.5891886,73.7053249,1949307084,Braking,0
182,1742440455131.0,18.5886529,73.7047739,1949307084,Acceleration,0
183,1742440456108.0,18.5885844,73.7046927,1949307084,Braking,0
184,1742440464794.0,18.5882689,73.7036847,1949307084,Acceleration,0
185,1742440476175.0,18.5878201,73.7024637,1949307084,Acceleration,0
186,1742440487880.0,18.5873325,73.7012439,1949307084,Acceleration,0
187,1742440506274.0,18.5866875,73.699798,1949307084,Acceleration,0
188,1742440505160.0,18.5866856,73.6998644,1949307084,Braking,0
189,1742440589397.0,18.5868925,73.6996284,1949307084,Cornering,0
190,1742440605250.0,18.5867945,73.6997294,1949307084,Acceleration,0
191,1742440648989.0,18.5881728,73.7027672,1949307084,Acceleration,0
192,1742440660400.0,18.5883632,73.7035731,1949307084,Acceleration,0
193,1742440662137.0,18.5883974,73.7036842,1949307084,Braking,0
194,1742440660480.0,18.5883873,73.7036382,1949307084,Cornering,0
195,1742440681039.0,18.5886981,73.7035325,1949307084,Braking,0
196,1742440682271.0,18.5886994,73.7035276,1949307084,Cornering,0
197,1742440688185.0,18.5887022,73.7035212,1949307084,Acceleration,0
198,1742440707630.0,18.5887181,73.703511,1949307084,Acceleration,0
199,1742440709022.0,18.5887181,73.703511,1949307084,Cornering,0
200,1742440724331.0,18.5888108,73.7035508,1949307084,Acceleration,0
201,1742440732320.0,18.5888754,73.7035619,1949307084,Acceleration,0
202,1742440723601.0,18.588802,73.7035484,1949307084,Cornering,0
203,1742440733988.0,18.5888865,73.7035616,1949307084,Braking,0
204,1742440767166.0,18.588948,73.7035331,1949307084,Cornering,0
205,1742440802707.0,18.5889075,73.7033831,1949307084,Acceleration,0
206,1742440821791.0,18.5888825,73.7032385,1949307084,Acceleration,0
207,1742440788440.0,18.5889888,73.7034375,1949307084,Cornering,0
208,1742440842491.0,18.5887859,73.7030798,1949307084,Cornering,0
209,1742440852431.0,18.5887348,73.7029996,1949307084,Cornering,0
210,1742440865866.0,18.5886811,73.7029223,1949307084,Cornering,0
211,1742440880744.0,18.5888556,73.7029734,1949307084,Braking,0
212,1742440879037.0,18.5887824,73.7029633,1949307084,Acceleration,0
213,1742440879117.0,18.5887824,73.7029633,1949307084,Cornering,0
214,1742440984171.0,18.5890356,73.7030369,1949307084,Cornering,0
215,1742440991313.0,18.588566,73.7031717,1949307084,Cornering,0
216,1742440983993.0,18.5890356,73.7030369,1949307084,Braking,0
217,1742441002610.0,18.5885474,73.7031705,1949307084,Acceleration,0
218,1742441007835.0,18.5885456,73.7031637,1949307084,Braking,0
219,1742440999217.0,18.588548,73.7032024,1949307084,Cornering,0
220,1742441011603.0,18.5885512,73.7031699,1949307084,Acceleration,0
221,1742441019025.0,18.58855,73.7031713,1949307084,Braking,0
222,1742441019382.0,18.58855,73.7031713,1949307084,Cornering,0
223,1742441024070.0,18.58855,73.7031713,1949307084,Acceleration,0
