ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
79,1742400459932.0,4.7439,-6.4587,1.8497,-0.0234,-1.8955,315396716,Braking,0
80,1742400464678.0,4.8434,-6.4587,1.9623,0.0339,-1.9686,315396716,Acceleration,0
81,1742400483590.0,5.8592,-4.7843,2.0515,-0.0196,-2.1193,315396716,Braking,0
82,1742400498630.0,5.8592,-4.7843,1.6801,-0.2197,-2.0538,315396716,Acceleration,0
83,1742400507924.0,3.6605,-4.6547,1.1928,-0.5707,-2.1483,315396716,Braking,0
84,1742400524846.0,6.009,-4.8907,2.8878,-0.1723,-2.7526,315396716,Cornering,0
85,1742400528935.0,8.0317,-6.1119,3.9859,0.3526,-2.793,315396716,Cornering,0
86,1742400520640.0,8.0317,-6.1119,3.5066,0.2878,-2.5545,315396716,Braking,0
87,1742400520169.0,8.0317,-6.1119,3.4534,0.2855,-2.4497,315396716,Acceleration,0
88,1742400552219.0,3.67,-4.4101,1.5114,0.0058,-1.4602,315396716,Acceleration,0
89,1742400563582.0,5.8272,-6.131,1.5815,-0.1666,-2.225,315396716,Braking,0
90,1742400566368.0,5.8272,-4.7742,1.8058,0.2375,-1.7372,315396716,Acceleration,0
91,1742400571710.0,3.3053,-3.0057,1.9142,0.2779,-1.1566,315396716,Acceleration,0
92,1742400588040.0,3.6699,-5.5851,0.8583,-1.1652,-2.7049,315396716,Acceleration,0
93,1742400587733.0,3.6699,-6.7738,0.9345,-0.7904,-2.4627,315396716,Braking,0
94,1742400600936.0,6.2549,-9.7135,2.7458,0.1935,-2.676,315396716,Cornering,0
95,1742400600968.0,5.9137,-9.7135,2.6925,0.1739,-2.676,315396716,Braking,0
96,1742400599313.0,6.2549,-9.7135,2.6925,0.2013,-2.567,315396716,Acceleration,0
97,1742400609509.0,3.4753,-4.0116,2.586,0.8661,-1.9724,315396716,Braking,0
98,1742400611144.0,3.4753,-3.133,2.4775,0.4985,-0.8342,315396716,Acceleration,0
99,1742400614733.0,2.5653,-3.7784,1.1632,-0.0649,-1.6637,315396716,Braking,0
100,1742400640745.0,4.2289,-3.8852,1.9796,0.054,-2.0409,315396716,Braking,0
101,1742400667779.0,14.0221,-13.924,4.3313,0.2931,-4.0472,315396716,Cornering,0
102,1742400667860.0,14.0221,-13.924,4.1717,0.1873,-3.9423,315396716,Acceleration,0
103,1742400706616.0,4.5473,-5.6894,2.1953,0.2165,-2.8964,315396716,Cornering,0
104,1742400666355.0,14.0221,-13.924,3.9127,0.2245,-3.8387,315396716,Braking,0
105,1742400718169.0,6.1206,-10.0482,2.8747,0.4734,-2.7477,315396716,Cornering,0
106,1742400712540.0,6.1206,-10.0482,2.481,-0.0372,-2.4624,315396716,Braking,0
107,1742400709789.0,6.1206,-10.0482,2.3202,0.1818,-2.2738,315396716,Acceleration,0
108,1742400727397.0,2.8253,-6.5813,1.8385,0.199,-2.2738,315396716,Braking,0
109,1742400736205.0,4.334,-7.2463,2.2794,-0.002,-2.3741,315396716,Cornering,0
110,1742400732613.0,4.334,-7.2463,2.0852,-0.1024,-2.2452,315396716,Braking,0
111,1742400739116.0,4.334,-7.2463,2.4997,0.3297,-2.0284,315396716,Acceleration,0
112,1742400748086.0,2.7986,-3.8023,1.7343,-0.0344,-2.1304,315396716,Braking,0
113,1742400755592.0,2.765,-4.2768,1.2788,-0.3073,-1.915,315396716,Braking,0
114,1742400755512.0,4.5719,-4.2768,1.4277,-0.3107,-1.9787,315396716,Acceleration,0
115,1742400763617.0,3.0466,-2.6113,2.0372,0.2237,-1.3205,315396716,Acceleration,0
116,1742400770365.0,7.5666,-8.5217,2.3538,-0.208,-3.2706,315396716,Cornering,0
117,1742400768312.0,9.2224,-8.5217,2.128,-0.1552,-2.407,315396716,Acceleration,0
118,1742400768087.0,9.2224,-8.5217,2.0945,-0.2074,-2.5552,315396716,Braking,0
119,1742400792045.0,5.1268,-1.978,4.3458,2.8797,0.0436,315396716,Acceleration,0
120,1742400933171.0,9.7314,1.0079,6.441,3.4099,1.6877,315396716,Cornering,0
121,1742400933188.0,9.7314,0.2121,5.94,2.6694,0.9441,315396716,Acceleration,0
122,1742400950454.0,2.6719,-1.519,1.3138,0.3214,-0.5612,315396716,Cornering,0
123,1742400956991.0,1.6875,-1.1339,1.0728,0.2357,-0.5381,315396716,Cornering,0
124,1742400964210.0,1.4954,-1.2376,0.7298,0.0607,-0.5668,315396716,Cornering,0
125,1742401003732.0,-1.657,-4.4193,-1.7384,-2.2198,-3.2186,315396716,Braking,0
126,1742401023241.0,1.7015,-10.039,0.4142,-2.919,-5.5784,315396716,Cornering,0
127,1742401022968.0,1.7015,-10.6146,0.2902,-2.7858,-5.2184,315396716,Braking,0
128,1742439667277.0,3.1707,-2.5175,0.9918,-0.4088,-1.127,1949307084,Acceleration,0
129,1742439656555.0,3.4671,-4.3891,1.1967,0.0063,-0.9769,1949307084,Cornering,0
130,1742439687331.0,1.9292,-1.8052,1.1781,0.0328,-1.0822,1949307084,Cornering,0
131,1742439696657.0,2.23,-1.7805,1.0147,-0.0231,-0.7067,1949307084,Cornering,0
132,1742439714424.0,2.2283,-1.4676,1.3138,0.0205,-1.005,1949307084,Cornering,0
133,1742439765718.0,4.1291,-3.548,1.1318,0.0446,-0.7969,1949307084,Cornering,0
134,1742439812896.0,1.5435,-1.5897,0.6933,-0.2242,-0.8962,1949307084,Cornering,0
135,1742439820584.0,1.597,-0.7724,0.8597,0.3602,-0.1955,1949307084,Cornering,0
136,1742439829608.0,5.8208,-2.4646,1.0929,-0.0992,-0.8148,1949307084,Cornering,0
137,1742439838945.0,2.0766,-2.9861,0.9921,0.1108,-0.9801,1949307084,Cornering,0
138,1742439847120.0,1.7566,-2.1984,0.9737,-0.1026,-1.0946,1949307084,Cornering,0
139,1742439853880.0,2.6446,-2.6979,1.1757,-0.0711,-1.363,1949307084,Cornering,0
140,1742439870186.0,2.6549,-2.2002,1.1595,0.021,-1.0531,1949307084,Cornering,0
141,1742439900215.0,1.8433,-3.6621,1.1936,0.1531,-1.8777,1949307084,Braking,0
142,1742439896013.0,2.447,-3.6621,1.1559,0.0914,-1.0685,1949307084,Cornering,0
143,1742439915151.0,2.1595,-1.2461,0.9677,0.1016,-0.798,1949307084,Cornering,0
144,1742439919797.0,1.6027,-2.3451,0.6684,-0.0568,-0.7675,1949307084,Cornering,0
145,1742439973230.0,3.919,-3.9331,1.0568,0.1713,-1.0762,1949307084,Acceleration,0
146,1742439931658.0,4.2547,-4.269,1.0573,0.0295,-0.957,1949307084,Cornering,0
147,1742439992326.0,2.3229,-1.1646,0.9717,0.1347,-0.8705,1949307084,Cornering,0
148,1742439997599.0,5.2771,-5.1214,1.3977,-0.0291,-1.0912,1949307084,Cornering,0
149,1742440012450.0,3.168,-1.8758,0.9371,-0.1354,-1.0306,1949307084,Cornering,0
150,1742440035138.0,1.3762,-2.2686,0.8056,0.0622,-0.9054,1949307084,Cornering,0
151,1742440043854.0,3.6738,-4.3418,1.1867,-0.0019,-1.4022,1949307084,Cornering,0
152,1742440056896.0,1.9535,-1.4846,0.6295,0.177,-0.5156,1949307084,Cornering,0
153,1742440074201.0,2.0322,-1.9158,0.3951,-0.0914,-0.7018,1949307084,Cornering,0
154,1742440113545.0,2.46,-1.0097,0.7191,-0.0042,-0.6376,1949307084,Cornering,0
155,1742440133803.0,1.1708,-0.8636,0.4513,0.0019,-0.4916,1949307084,Cornering,0
156,1742440165185.0,0.9717,-1.5711,0.4227,-0.0957,-0.8534,1949307084,Cornering,0
157,1742440208074.0,1.8314,-1.6915,0.4569,-0.0797,-0.6548,1949307084,Cornering,0
158,1742440228135.0,4.9972,-2.1875,1.5648,-0.297,-1.8155,1949307084,Acceleration,0
159,1742440244306.0,2.9695,-3.2685,1.219,-0.1306,-1.0898,1949307084,Braking,0
160,1742440245913.0,3.0111,-1.7007,0.841,-0.1185,-0.8778,1949307084,Acceleration,0
161,1742440261437.0,0.1892,-7.0042,-0.7595,-2.2156,-3.8415,1949307084,Braking,0
162,1742440260283.0,6.6584,-7.0042,2.3063,-0.604,-3.4295,1949307084,Cornering,0
163,1742440282292.0,3.8206,-6.064,2.2133,-2.0735,-4.2703,1949307084,Braking,0
