ID,timeStart,latitude,longitude,UNIQUE_ID,type,synced
110,1742400732613.0,18.5864416,73.7537709,315396716,Braking,0
111,1742400739116.0,18.5864416,73.7537709,315396716,Acceleration,0
112,1742400748086.0,18.5862139,73.7538076,315396716,Braking,0
113,1742400755592.0,18.5859478,73.7538623,315396716,Braking,0
114,1742400755512.0,18.5859478,73.7538623,315396716,Acceleration,0
115,1742400763617.0,18.5857039,73.7539022,315396716,Acceleration,0
116,1742400770365.0,18.5852583,73.7539207,315396716,Cornering,0
117,1742400768312.0,18.5849512,73.7539456,315396716,Acceleration,0
118,1742400768087.0,18.5849448,73.7539595,315396716,Braking,0
119,1742400792045.0,18.5850621,73.7540134,315396716,Acceleration,0
120,1742400933171.0,18.585071,73.7540165,315396716,Cornering,0
121,1742400933188.0,18.5850289,73.7541701,315396716,Acceleration,0
122,1742400950454.0,18.5849397,73.7543839,315396716,Cornering,0
123,1742400956991.0,18.5847668,73.7543641,315396716,Cornering,0
124,1742400964210.0,18.5846116,73.7543554,315396716,Cornering,0
125,1742401003732.0,18.5842174,73.7552043,315396716,Braking,0
126,1742401023241.0,18.5845053,73.7554125,315396716,Cornering,0
127,1742401022968.0,18.5843511,73.7551447,315396716,Braking,0
128,1742439667277.0,18.5876648,73.7499787,1949307084,Acceleration,0
129,1742439656555.0,18.58772,73.7493926,1949307084,Cornering,0
130,1742439687331.0,18.5878845,73.7489039,1949307084,Cornering,0
131,1742439696657.0,18.5878722,73.7480952,1949307084,Cornering,0
132,1742439714424.0,18.5878525,73.7472924,1949307084,Cornering,0
133,1742439765718.0,18.5889306,73.7424019,1949307084,Cornering,0
134,1742439812896.0,18.5889767,73.7415757,1949307084,Cornering,0
135,1742439820584.0,18.5890121,73.741477,1949307084,Cornering,0
136,1742439829608.0,18.5896427,73.741269,1949307084,Cornering,0
137,1742439838945.0,18.5900808,73.741002,1949307084,Cornering,0
138,1742439847120.0,18.5903288,73.7408743,1949307084,Cornering,0
139,1742439853880.0,18.5909652,73.7404709,1949307084,Cornering,0
140,1742439870186.0,18.5911157,73.739354,1949307084,Cornering,0
141,1742439900215.0,18.5911482,73.7388369,1949307084,Braking,0
142,1742439896013.0,18.590637,73.7386528,1949307084,Cornering,0
143,1742439915151.0,18.5902435,73.7385197,1949307084,Cornering,0
144,1742439919797.0,18.5895321,73.7381444,1949307084,Cornering,0
145,1742439973230.0,18.5861109,73.7344781,1949307084,Acceleration,0
146,1742439931658.0,18.5869471,73.7334617,1949307084,Cornering,0
