id,track_id,latitude,longitude,accuracy,point_date,point_origin,synced
63,10,18.5887338,73.7030157,23.05500030517578,2025-03-19T18:12:33+0530,Track,0
64,10,18.5887516,73.7030138,23.99799919128418,2025-03-19T18:12:36+0530,Track,0
65,10,18.5887467,73.7030333,24.509000778198242,2025-03-19T18:12:41+0530,Track,0
66,10,18.5887439,73.7030438,21.773000717163086,2025-03-19T18:12:46+0530,Track,0
67,10,18.588728,73.7031142,101.96700286865234,2025-03-19T18:12:51+0530,Track,0
68,10,18.5884105,73.7032229,105.7760009765625,2025-03-19T18:12:56+0530,Track,0
69,10,18.5881529,73.7032732,113.21800231933594,2025-03-19T18:13:01+0530,Track,0
70,10,18.5880892,73.7032774,125.39399719238281,2025-03-19T18:13:06+0530,Track,0
71,12,18.5887439,73.7029846,23.270000457763672,2025-03-19T18:20:04+0530,Track,0
72,12,18.5887584,73.7030065,24.270999908447266,2025-03-19T18:20:10+0530,Track,0
73,12,18.588757,73.7030103,25.656999588012695,2025-03-19T18:20:11+0530,Track,0
74,12,18.5887464,73.7030051,25.219999313354492,2025-03-19T18:20:14+0530,Track,0
75,12,18.5887418,73.7030083,23.900999069213867,2025-03-19T18:20:16+0530,Track,0
76,12,18.588739,73.7030052,23.878000259399414,2025-03-19T18:20:19+0530,Track,0
77,12,18.5887658,73.7030016,25.481000900268555,2025-03-19T18:20:20+0530,Track,0
78,12,18.5887705,73.7029969,26.07200050354004,2025-03-19T18:20:24+0530,Track,0
79,12,18.5887562,73.7030008,24.861000061035156,2025-03-19T18:20:30+0530,Track,0
80,12,18.5887372,73.7029882,107.7509994506836,2025-03-19T18:20:34+0530,Track,0
81,13,18.5994646,73.728994,71.0,2025-03-19T19:23:27+0530,Track,0
82,13,18.5994646,73.728994,75.16600036621094,2025-03-19T19:23:28+0530,Track,0
83,13,18.5994646,73.728994,80.33300018310547,2025-03-19T19:23:29+0530,Track,0
84,13,18.5994663,73.7289945,86.80000305175781,2025-03-19T19:23:30+0530,Track,0
85,13,18.599469,73.728995,88.80000305175781,2025-03-19T19:23:31+0530,Track,0
86,13,18.5994724,73.7289956,91.5999984741211,2025-03-19T19:23:33+0530,Track,0
87,13,18.5994745,73.7289977,89.4000015258789,2025-03-19T19:23:34+0530,Track,0
88,13,18.5994748,73.7289984,89.68499755859375,2025-03-19T19:23:35+0530,Track,0
89,13,18.5994752,73.7289995,90.68499755859375,2025-03-19T19:23:37+0530,Track,0
90,13,18.5994774,73.729004,91.68499755859375,2025-03-19T19:23:39+0530,Track,0
91,14,18.5843753,73.7551767,30.64699935913086,2025-03-19T21:51:59+0530,Track,0
92,14,18.5845108,73.7554597,20.399999618530273,2025-03-19T21:52:05+0530,Track,0
93,14,18.5845172,73.7554755,20.0,2025-03-19T21:52:10+0530,Track,0
94,14,18.5843559,73.7551411,29.52199935913086,2025-03-19T21:52:15+0530,Track,0
95,14,18.5843394,73.7550984,36.659000396728516,2025-03-19T21:52:20+0530,Track,0
96,14,18.5845127,73.7554636,28.378999710083008,2025-03-19T21:52:25+0530,Track,0
97,14,18.5845195,73.7554819,22.763999938964844,2025-03-19T21:52:30+0530,Track,0
98,14,18.5845157,73.7554723,22.763999938964844,2025-03-19T21:52:34+0530,Track,0
99,14,18.5845155,73.7554731,24.732999801635742,2025-03-19T21:52:40+0530,Track,0
100,14,18.5845147,73.7554709,20.0,2025-03-19T21:52:45+0530,Track,0
101,15,18.5886613,73.7031598,29.96500015258789,2025-03-20T08:55:04+0530,Track,0
102,15,18.5888896,73.703095,27.9950008392334,2025-03-20T08:55:06+0530,Track,0
103,15,18.5887995,73.7031192,27.4950008392334,2025-03-20T08:55:07+0530,Track,0
104,15,18.5887173,73.7031419,26.82900047302246,2025-03-20T08:55:08+0530,Track,0
105,15,18.5886728,73.7031543,26.66200065612793,2025-03-20T08:55:09+0530,Track,0
106,15,18.5886413,73.7031632,27.92799949645996,2025-03-20T08:55:10+0530,Track,0
107,15,18.5886211,73.7031689,29.399999618530273,2025-03-20T08:55:11+0530,Track,0
108,15,18.5886031,73.703174,29.0,2025-03-20T08:55:12+0530,Track,0
109,15,18.5885878,73.7031772,29.399999618530273,2025-03-20T08:55:13+0530,Track,0
110,15,18.5885769,73.7031791,29.200000762939453,2025-03-20T08:55:14+0530,Track,0
