id,heartbeat_json
11,"{""ChargeLevel"":98.0,""CreatedDate"":""2025-03-18T23:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
12,"{""ChargeLevel"":97.0,""CreatedDate"":""2025-03-18T23:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
13,"{""ChargeLevel"":97.0,""CreatedDate"":""2025-03-19T00:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
14,"{""ChargeLevel"":97.0,""CreatedDate"":""2025-03-19T00:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
15,"{""ChargeLevel"":97.0,""CreatedDate"":""2025-03-19T01:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
16,"{""ChargeLevel"":97.0,""CreatedDate"":""2025-03-19T01:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
17,"{""ChargeLevel"":96.0,""CreatedDate"":""2025-03-19T02:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
18,"{""ChargeLevel"":96.0,""CreatedDate"":""2025-03-19T02:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
19,"{""ChargeLevel"":96.0,""CreatedDate"":""2025-03-19T03:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
20,"{""ChargeLevel"":96.0,""CreatedDate"":""2025-03-19T03:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
21,"{""ChargeLevel"":95.0,""CreatedDate"":""2025-03-19T04:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
22,"{""ChargeLevel"":95.0,""CreatedDate"":""2025-03-19T04:42:09+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
23,"{""ChargeLevel"":95.0,""CreatedDate"":""2025-03-19T05:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
24,"{""ChargeLevel"":95.0,""CreatedDate"":""2025-03-19T05:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
25,"{""ChargeLevel"":94.0,""CreatedDate"":""2025-03-19T06:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
26,"{""ChargeLevel"":94.0,""CreatedDate"":""2025-03-19T06:42:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
27,"{""ChargeLevel"":94.0,""CreatedDate"":""2025-03-19T07:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
28,"{""ChargeLevel"":94.0,""CreatedDate"":""2025-03-19T07:42:09+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
29,"{""ChargeLevel"":93.0,""CreatedDate"":""2025-03-19T08:12:08+0530"",""GPSEnabled"":true,""RealTimeLocationEnabled"":false,""MobileDataEnabled"":false,""NotLoadTripsCount"":0,""Params"":[{""Key"":""Network Provider Enabled"",""Value"":""1""},{""Key"":""Device Has Rooted"",""Value"":""0""},{""Key"":""Has Mock Location"",""Value"":""0""},{""Key"":""Jail broken"",""Value"":""0""},{""Key"":""Sdk Version"",""Value"":""2.2.263(338)""},{""Key"":""Device OS Version"",""Value"":""OS: android : 8.0.0 : O : sdk \u003d 26""},{""Key"":""Device Model"",""Value"":""Samsung SM-G570F""},{""Key"":""Application"",""Value"":""com.example.accuratedamoov, 1.0.1""},{""Key"":""Battery Charge State"",""Value"":""Unplugged""},{""Key"":""GPS Permissions Granted"",""Value"":""1""},{""Key"":""Motion Activity Available"",""Value"":""1""},{""Key"":""GpsSensorAvailable"",""Value"":""1""},{""Key"":""Low Power Mode"",""Value"":""false""},{""Key"":""User Enabled Tracking"",""Value"":""true""},{""Key"":""DeviceId"",""Value"":""794914eab1e39433""},{""Key"":""StartTrackingCount"",""Value"":""0""},{""Key"":""Last Known Latitude"",""Value"":""18.5841157""},{""Key"":""Last Known Longitude"",""Value"":""73.7550527""},{""Key"":""Reason"",""Value"":""Regular""},{""Key"":""BluetoothEnabled"",""Value"":""true""},{""Key"":""isHfEnabled"",""Value"":""true""}],""WifiEnabled"":true}"
