ID,timeStart,max,min,quantile_95,median,quantile_05,UNIQUE_ID,type,synced
90,1742400566368.0,8.0,7.4,8.0,7.5,7.4,315396716,Acceleration,0
91,1742400571710.0,8.6,8.0,8.6,8.4,8.0,315396716,Acceleration,0
92,1742400588040.0,9.833,8.4,9.6,9.2,8.4,315396716,Acceleration,0
93,1742400587733.0,12.4,8.4,12.4,9.833,8.4,315396716,Braking,0
94,1742400600936.0,12.333,11.4,12.333,11.6,11.4,315396716,Cornering,0
95,1742400600968.0,12.333,11.4,12.333,11.6,11.4,315396716,Braking,0
96,1742400599313.0,12.333,11.4,12.333,11.666,11.4,315396716,Acceleration,0
97,1742400609509.0,11.6,11.0,11.4,11.2,11.2,315396716,Braking,0
98,1742400611144.0,11.2,10.5,11.2,11.0,10.5,315396716,Acceleration,0
99,1742400614733.0,10.8,9.0,10.8,10.166,9.0,315396716,Braking,0
100,1742400640745.0,9.4,7.4,8.8,8.2,7.4,315396716,Braking,0
101,1742400667779.0,10.2,8.2,10.0,8.8,8.333,315396716,Cornering,0
102,1742400667860.0,10.2,8.2,10.0,9.0,8.333,315396716,Acceleration,0
103,1742400706616.0,10.8,9.4,10.8,9.8,9.6,315396716,Cornering,0
104,1742400666355.0,10.8,8.2,10.2,9.0,8.333,315396716,Braking,0
105,1742400718169.0,12.4,9.833,12.4,10.8,9.833,315396716,Cornering,0
106,1742400712540.0,12.4,9.833,12.4,11.4,9.833,315396716,Braking,0
107,1742400709789.0,12.4,9.666,12.4,10.8,9.666,315396716,Acceleration,0
108,1742400727397.0,10.666,9.666,10.666,10.5,9.666,315396716,Braking,0
109,1742400736205.0,10.0,8.2,9.666,8.5,8.2,315396716,Cornering,0
110,1742400732613.0,10.5,8.2,10.5,8.6,8.2,315396716,Braking,0
111,1742400739116.0,8.8,8.2,8.8,8.4,8.2,315396716,Acceleration,0
112,1742400748086.0,9.0,8.2,8.8,8.2,8.2,315396716,Braking,0
113,1742400755592.0,10.6,9.8,10.6,10.2,9.8,315396716,Braking,0
114,1742400755512.0,10.6,9.8,10.6,10.2,9.8,315396716,Acceleration,0
115,1742400763617.0,11.0,10.166,11.0,11.0,10.166,315396716,Acceleration,0
116,1742400770365.0,11.5,9.2,11.5,11.0,9.2,315396716,Cornering,0
117,1742400768312.0,23.3329,9.2,23.3329,17.666,9.2,315396716,Acceleration,0
118,1742400768087.0,23.3329,9.2,23.3329,17.8329,9.2,315396716,Braking,0
119,1742400792045.0,24.75,13.614,24.75,21.0,20.666,315396716,Acceleration,0
120,1742400933171.0,24.6,16.166,24.6,19.8,16.166,315396716,Cornering,0
121,1742400933188.0,24.6,16.0,24.6,17.2,16.0,315396716,Acceleration,0
122,1742400950454.0,18.6,15.0,18.6,16.8329,15.166,315396716,Cornering,0
123,1742400956991.0,15.5,15.0,15.5,15.4,15.0,315396716,Cornering,0
124,1742400964210.0,16.6,15.666,16.6,16.6,16.166,315396716,Cornering,0
125,1742401003732.0,18.0,15.5,18.0,18.0,15.5,315396716,Braking,0
126,1742401023241.0,22.2,16.6,22.0,18.6,16.6,315396716,Cornering,0
127,1742401022968.0,23.018,16.6,23.018,18.6,16.6,315396716,Braking,0
128,1742439667277.0,21.5159,21.5159,21.5159,21.5159,21.5159,1949307084,Acceleration,0
129,1742439656555.0,21.5159,15.452,21.5159,18.8649,15.452,1949307084,Cornering,0
130,1742439687331.0,15.657,11.506,15.657,15.657,15.657,1949307084,Cornering,0
131,1742439696657.0,23.869,11.506,11.506,11.506,11.506,1949307084,Cornering,0
132,1742439714424.0,23.869,19.4289,23.869,23.869,23.869,1949307084,Cornering,0
133,1742439765718.0,24.666,7.2,15.224,9.8,7.6,1949307084,Cornering,0
134,1742439812896.0,10.8,9.2,10.8,10.2,9.2,1949307084,Cornering,0
135,1742439820584.0,11.166,10.833,11.166,11.0,10.833,1949307084,Cornering,0
136,1742439829608.0,10.6,9.6,10.6,10.166,9.833,1949307084,Cornering,0
137,1742439838945.0,10.8,9.8,10.4,10.0,9.8,1949307084,Cornering,0
138,1742439847120.0,11.6,11.0,11.6,11.5,11.0,1949307084,Cornering,0
139,1742439853880.0,10.8,7.6,10.5,8.4,7.6,1949307084,Cornering,0
140,1742439870186.0,14.833,10.666,14.333,12.4,11.2,1949307084,Cornering,0
141,1742439900215.0,9.8,8.8,9.8,9.6,9.2,1949307084,Braking,0
142,1742439896013.0,12.8,7.6,11.4,9.2,7.6,1949307084,Cornering,0
143,1742439915151.0,9.2,9.0,9.2,9.2,9.0,1949307084,Cornering,0
144,1742439919797.0,8.833,6.8,8.833,7.4,6.8,1949307084,Cornering,0
145,1742439973230.0,8.0,7.2,8.0,7.5,7.2,1949307084,Acceleration,0
146,1742439931658.0,10.333,6.833,10.166,8.666,7.333,1949307084,Cornering,0
147,1742439992326.0,9.0,8.666,9.0,9.0,8.666,1949307084,Cornering,0
148,1742439997599.0,10.2,8.833,10.2,9.2,8.833,1949307084,Cornering,0
149,1742440012450.0,12.0,10.0,12.0,10.8,10.4,1949307084,Cornering,0
150,1742440035138.0,11.6,10.4,11.6,11.0,10.4,1949307084,Cornering,0
151,1742440043854.0,11.4,9.166,10.166,9.6,9.166,1949307084,Cornering,0
152,1742440056896.0,12.8,12.0,12.8,12.6,12.0,1949307084,Cornering,0
153,1742440074201.0,9.8,8.166,9.8,9.4,8.5,1949307084,Cornering,0
154,1742440113545.0,12.6,9.4,11.6,10.0,9.4,1949307084,Cornering,0
155,1742440133803.0,19.666,18.4,19.666,19.4,18.4,1949307084,Cornering,0
156,1742440165185.0,9.833,8.4,9.833,8.6,8.4,1949307084,Cornering,0
157,1742440208074.0,5.4,5.166,5.4,5.4,5.166,1949307084,Cornering,0
158,1742440228135.0,4.833,4.6,4.833,4.6,4.6,1949307084,Acceleration,0
159,1742440244306.0,8.5,6.4,8.5,7.6,6.8,1949307084,Braking,0
160,1742440245913.0,8.4,6.2,8.4,6.4,6.2,1949307084,Acceleration,0
161,1742440261437.0,6.2,5.2,6.2,6.0,5.2,1949307084,Braking,0
162,1742440260283.0,6.2,5.2,6.2,5.6,5.2,1949307084,Cornering,0
163,1742440282292.0,6.0,5.6,6.0,5.8,5.6,1949307084,Braking,0
164,1742440282132.0,12.2,5.6,11.6,6.4,5.6,1949307084,Cornering,0
165,1742440287114.0,20.8,6.0,20.6,11.0,6.0,1949307084,Acceleration,0
166,1742440301734.0,20.8,7.2,20.6,10.0,7.2,1949307084,Braking,0
167,1742440317055.0,8.6,7.2,8.6,8.2,7.333,1949307084,Acceleration,0
168,1742440308627.0,16.8,7.2,14.0,8.6,7.2,1949307084,Cornering,0
169,1742440322113.0,8.666,8.333,8.666,8.6,8.333,1949307084,Braking,0
170,1742440328438.0,8.0,6.8,8.0,6.8,6.8,1949307084,Cornering,0
171,1742440328619.0,8.0,6.8,8.0,6.8,6.8,1949307084,Braking,0
172,1742440326705.0,8.333,6.8,8.166,7.2,6.8,1949307084,Acceleration,0
173,1742440333767.0,7.6,6.8,7.6,7.6,6.8,1949307084,Braking,0
174,1742440344826.0,6.8,5.8,6.8,6.2,5.8,1949307084,Acceleration,0
175,1742440367676.0,7.166,4.8,7.166,5.166,4.8,1949307084,Cornering,0
176,1742440379648.0,9.2,7.8,9.2,8.6,7.8,1949307084,Acceleration,0
177,1742440384527.0,7.2,6.8,7.2,6.8,6.8,1949307084,Acceleration,0
178,1742440414103.0,6.833,5.4,6.833,6.0,5.4,1949307084,Braking,0
179,1742440413599.0,6.833,5.4,6.833,6.0,5.4,1949307084,Acceleration,0
180,1742440442748.0,6.8,4.6,6.6,5.6,4.6,1949307084,Acceleration,0
181,1742440444425.0,6.8,4.833,6.8,6.4,4.833,1949307084,Braking,0
182,1742440455131.0,6.333,6.2,6.333,6.2,6.2,1949307084,Acceleration,0
183,1742440456108.0,6.333,6.0,6.333,6.2,6.0,1949307084,Braking,0
184,1742440464794.0,10.833,6.166,10.833,7.4,6.166,1949307084,Acceleration,0
185,1742440476175.0,14.0,7.4,14.0,12.0,7.8,1949307084,Acceleration,0
186,1742440487880.0,6.8,5.6,6.8,6.0,5.6,1949307084,Acceleration,0
187,1742440506274.0,7.8,6.0,7.8,6.666,6.0,1949307084,Acceleration,0
188,1742440505160.0,8.2,6.0,8.2,6.666,6.0,1949307084,Braking,0
