ID,latitude,longitude,timestamp,tick_timestamp,speed_kmh,midSpeed,course,height,acceleration,deceleration,lateral,yaw,total_meters,established_indexA,established_indexB,start_date,end_date,unique_id,number,device_id,acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,acceleration_x_original,acceleration_y_original,acceleration_z_original,gyroscope_x_original,gyroscope_y_original,gyroscope_z_original,accuracy,screen_on,screen_blocked,vehicle_indicators,quantile,safe_score,risk_factor,total_penalty,star_rating
4440,18.595112,73.7110966,2025-03-20 03:12:33,1742440353,49.24569396972657,49.24569396972657,240.338119506836,557000,-0.2865797043646417,-2.811346899817136,0.0,0.0,5811.780976054903,0,0,,,1949307084,551,794914eab1e39433,0.0,-0.3089410856983768,1.522503112303468,0.0,0.0,0.0,-14.079103469848633,1.9500772953033447,-5.52821159362793,0.0,0.0,0.0,5.5,0,1,,"{""AccZ"":{""max"":13.9025,""median"":9.7082,""min"":7.2849,""quantile_05"":8.321,""quantile_95"":12.4292},""AccY"":{""max"":1.1935,""median"":0.2242,""min"":-0.9761,""quantile_05"":-0.9101,""quantile_95"":1.0097},""AccX"":{""max"":1.2064,""median"":0.0514,""min"":-1.1257,""quantile_05"":-0.8043,""quantile_95"":0.9619},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4439,18.5951742,73.7112109,2025-03-20 03:12:32,1742440352,47.636128234863286,47.636128234863286,241.71083068847656,557000,-0.1623828093597168,-1.592975359818822,0.0,0.0,5798.115295978303,0,0,,,1949307084,550,794914eab1e39433,0.0,-0.2187404796832326,0.93840026316224,0.0,0.0,0.0,-8.78432559967041,0.4872200489044189,-3.4739866256713867,0.0,0.0,0.0,5.599999904632568,0,1,,"{""AccZ"":{""max"":12.2578,""median"":9.8169,""min"":5.9537,""quantile_05"":8.0864,""quantile_95"":11.2438},""AccY"":{""max"":1.3768,""median"":-0.1287,""min"":-1.3998,""quantile_05"":-1.0761,""quantile_95"":0.993},""AccX"":{""max"":1.2847,""median"":0.1207,""min"":-1.7224,""quantile_05"":-1.1644,""quantile_95"":0.7851},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4438,18.595232,73.7113229,2025-03-20 03:12:31,1742440351,47.02846069335938,47.02846069335938,241.3938140869141,557000,-0.1925558116555643,-1.8889725123410857,0.0,0.0,5784.8830381352855,0,0,,,1949307084,549,794914eab1e39433,0.0,-0.2587598725707974,0.965331600852754,0.0,0.0,0.0,-9.009381294250488,0.3531447649002075,-3.872621297836304,0.0,0.0,0.0,5.599999904632568,0,1,,"{""AccZ"":{""max"":12.0551,""median"":10.1253,""min"":7.8953,""quantile_05"":8.5156,""quantile_95"":11.0374},""AccY"":{""max"":1.246,""median"":0.0595,""min"":-1.2705,""quantile_05"":-0.9803,""quantile_95"":0.7114},""AccX"":{""max"":0.8867,""median"":-0.1141,""min"":-1.1144,""quantile_05"":-0.9971,""quantile_95"":0.6929},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4437,18.5952908,73.7114355,2025-03-20 03:12:30,1742440350,45.6694450378418,45.6694450378418,242.4908599853516,557000,-0.120709761911064,-1.1841627643475388,0.0,0.0,5771.819576831575,0,0,,,1949307084,548,794914eab1e39433,0.0,-0.1291210333493379,0.94406974649764,0.0,0.0,0.0,-8.815450668334961,1.3204022645950315,-2.82515811920166,0.0,0.0,0.0,5.800000190734863,0,1,,"{""AccZ"":{""max"":11.5768,""median"":9.9815,""min"":7.1159,""quantile_05"":7.9244,""quantile_95"":10.9047},""AccY"":{""max"":1.063,""median"":-0.0881,""min"":-1.3088,""quantile_05"":-0.8274,""quantile_95"":0.7197},""AccX"":{""max"":1.1162,""median"":0.0663,""min"":-1.6794,""quantile_05"":-0.8438,""quantile_95"":0.5805},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4436,18.5953452,73.7115467,2025-03-20 03:12:29,1742440349,44.31955833435059,44.31955833435059,243.30841064453125,558000,-0.0443718729450486,-0.4352880735909268,0.0,0.0,5759.1336198766185,0,0,,,1949307084,547,794914eab1e39433,0.0,-0.0260382599585874,0.8488419956938353,0.0,0.0,0.0,-7.9846625328063965,1.647210717201233,-1.7633295059204102,0.0,0.0,0.0,6.0,0,1,,"{""AccZ"":{""max"":13.2368,""median"":10.1909,""min"":7.8756,""quantile_05"":8.4297,""quantile_95"":11.8189},""AccY"":{""max"":1.7124,""median"":-0.0988,""min"":-1.0874,""quantile_05"":-0.8887,""quantile_95"":0.9132},""AccX"":{""max"":1.6794,""median"":0.1566,""min"":-1.0505,""quantile_05"":-0.9108,""quantile_95"":1.1813},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4435,18.5953946,73.7116528,2025-03-20 03:12:28,1742440348,43.17233848571777,43.17233848571777,243.2328491210937,558000,-0.0646074982945546,-0.6337995582695815,0.0,0.0,5746.810320461984,0,0,,,1949307084,546,794914eab1e39433,0.0,-0.1285348209957912,0.6603141328284875,0.0,0.0,0.0,-6.312312602996826,-0.0502782352268695,-2.0626046657562256,0.0,0.0,0.0,6.0,0,1,,"{""AccZ"":{""max"":13.3075,""median"":9.5788,""min"":7.3225,""quantile_05"":7.6565,""quantile_95"":12.3758},""AccY"":{""max"":2.407,""median"":0.0454,""min"":-2.5212,""quantile_05"":-1.5751,""quantile_95"":1.4181},""AccX"":{""max"":2.8703,""median"":-0.1135,""min"":-2.4927,""quantile_05"":-1.2075,""quantile_95"":1.904},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4434,18.5954465,73.7117571,2025-03-20 03:12:27,1742440347,43.09267730712891,43.09267730712891,244.69305419921875,558000,-0.2547363934811427,-2.4989640200500105,0.0,0.0,5734.818004215951,0,0,,,1949307084,545,794914eab1e39433,0.0,-0.3570904457128428,0.9602024609031587,0.0,0.0,0.0,-8.925583839416504,-0.2873041927814483,-4.6734819412231445,0.0,0.0,0.0,6.199999809265137,0,1,,"{""AccZ"":{""max"":13.63,""median"":10.0648,""min"":6.1734,""quantile_05"":7.4307,""quantile_95"":12.1086},""AccY"":{""max"":1.4901,""median"":0.0532,""min"":-2.1089,""quantile_05"":-1.0068,""quantile_95"":1.0646},""AccX"":{""max"":1.7745,""median"":0.1101,""min"":-2.0943,""quantile_05"":-0.9258,""quantile_95"":1.044},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4433,18.5954931,73.7118588,2025-03-20 03:12:26,1742440346,41.93242492675781,41.93242492675781,245.83377075195312,558000,0.4635907435418317,4.54782519414537,0.0,0.0,5722.847816075082,0,0,,,1949307084,544,794914eab1e39433,0.0,0.4710499788811143,0.9054498669746932,0.0,0.0,0.0,-9.408015251159668,1.7262194156646729,3.22139835357666,0.0,0.0,0.0,6.400000095367432,0,1,,"{""AccZ"":{""max"":16.0974,""median"":9.797,""min"":5.5668,""quantile_05"":6.7648,""quantile_95"":13.5432},""AccY"":{""max"":2.8941,""median"":-0.0607,""min"":-2.9124,""quantile_05"":-1.4346,""quantile_95"":1.5502},""AccX"":{""max"":4.4409,""median"":-0.0157,""min"":-2.2636,""quantile_05"":-1.827,""quantile_95"":1.948},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4432,18.5955354,73.7119611,2025-03-20 03:12:25,1742440345,41.54325828552246,41.54325828552246,245.12017822265625,559000,-0.1360985817373916,-1.335127086843812,0.0,0.0,5711.199920262094,0,0,,,1949307084,543,794914eab1e39433,0.0,-0.1216147458164645,0.8801495578879261,0.0,0.0,0.0,-8.134300231933594,1.600523829460144,-2.760514497756958,0.0,0.0,0.0,6.665999889373779,0,1,,"{""AccZ"":{""max"":12.9951,""median"":9.6879,""min"":7.6716,""quantile_05"":8.1115,""quantile_95"":11.7073},""AccY"":{""max"":3.0776,""median"":0.2771,""min"":-1.9772,""quantile_05"":-1.1099,""quantile_95"":1.5475},""AccX"":{""max"":2.8915,""median"":0.2934,""min"":-1.3175,""quantile_05"":-0.7065,""quantile_95"":1.4515},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
4431,18.5955792,73.7120612,2025-03-20 03:12:24,1742440344,42.67080574035645,42.67080574035645,245.82827758789065,559000,-0.2082310845890492,-2.042746939818573,0.0,0.0,5699.660126293893,0,0,,,1949307084,542,794914eab1e39433,0.0,-0.2505792593393822,0.9793217054952728,0.0,0.0,0.0,-9.069235801696776,0.7733271718025208,-3.936067581176758,0.0,0.0,0.0,6.800000190734863,0,1,,"{""AccZ"":{""max"":11.661,""median"":9.8277,""min"":8.5441,""quantile_05"":8.9144,""quantile_95"":10.8849},""AccY"":{""max"":1.1797,""median"":0.4066,""min"":-0.7114,""quantile_05"":-0.4937,""quantile_95"":1.076},""AccX"":{""max"":1.0398,""median"":0.4858,""min"":-0.1733,""quantile_05"":0.0067,""quantile_95"":0.9792},""GyroX"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroZ"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0},""GyroY"":{""max"":0.0,""median"":0.0,""min"":0.0,""quantile_05"":0.0,""quantile_95"":0.0}}",4.96,19.1627,94.5649,1.0
